temperature,humidity,winddirection,windspeed,precipitation,pm10
-0.3,88,215,8.8,0,9.32562
-0.5,89,218,8.2,0,11.7928
-0.6,90,223,7.9,0,11.3039
-0.9,91,225,7.6,0,18.1274
-1.3,92,227,6.9,0,23.8126
-1.5,93,233,7.7,0,39.1736
-0.8,91,241,9,0,34.1592
0.4,88,241,9.5,0,13.5972
1.9,81,239,9.7,0,22.4463
3,76,236,10.4,0,26.7523
3.8,72,233,12.1,0,19.9766
4,71,234,16.5,0,22.8564
3.5,73,234,16.5,0,20.2599
2.4,75,235,17.1,0,29.8108
1.3,77,234,17.3,0,40.9314
1.1,76,232,19.5,0,22.4286
1.1,76,228,23.2,0,18.4877
0.3,77,228,22.4,0,16.8123
0.3,79,222,22.4,0,15.1166
0.6,79,211,23.6,0,20.3919
0.9,77,207,21.1,0,21.0074
1.1,75,205,21.4,0,8.2723
1.4,74,206,22.4,0,7.41824
1.7,76,205,23.8,0.1,9.52963
2,77,200,23.8,0.1,6.01143
2.1,78,199,23.6,0,2.85424
2.1,79,191,22.7,0.2,3.5942
1.9,82,173,24.3,0.2,6.56874
1.3,80,170,22.7,0.1,6.9145
0.8,77,181,20.9,0,10.1764
1.1,75,192,22.1,0,7.63385
1.2,78,183,24.5,0.3,4.06863
0.2,76,158,29.1,1,10.4856
-0.1,66,147,28.9,0.1,6.36524
0.2,61,149,28.9,0,2.50486
0.4,60,158,26.8,0,11.9986
0.1,59,156,28.4,0,16.4117
-0.6,62,157,25.3,0,10.801
-1.3,67,158,23.3,0,14.333
-1.5,67,161,21.3,0,15.4249
-1.6,68,161,19.8,0,8.9778
-2,74,157,20,0,19.7496
-2.2,78,155,19.8,0.1,15.8101
-2.3,79,149,20.7,0.2,12.6119
-2.5,79,139,23.5,0.2,7.66441
-2.8,77,140,22.2,0.1,6.23981
-3.1,72,144,22.7,0,6.38925
-3.3,69,148,22.5,0,6.48301
-3.6,69,153,22.5,0,5.25544
-3.8,69,155,23.4,0,3.79847
-3.7,69,157,23.9,0,6.17221
-3.4,70,156,25.3,0,9.77535
-3.2,69,154,25.6,0,9.95615
-2.7,68,156,25.6,0,13.3324
-2.6,64,158,26,0,9.23038
-2.3,60,165,23.1,0,10.0425
-1.6,56,167,23.7,0,9.68219
-1,57,166,24.5,0,6.91519
-0.6,58,155,25.8,0,9.34936
-0.6,61,151,27.6,0.1,11.1941
-0.6,63,155,23.5,0.1,7.94186
-1.1,66,150,24.5,0.1,9.49041
-1.7,69,147,25.5,0,8.78203
-1.8,68,146,26,0,7.47642
-1.8,64,150,25,0,7.38423
-2,62,155,24.2,0,9.05983
-2,61,162,24.2,0,6.83346
-1.8,64,164,25.1,0,6.9193
-1.4,73,159,25.9,0,5.21267
-0.9,81,162,24.2,0,8.33158
-0.3,83,164,22.9,0.1,4.87549
0,85,162,21.2,0.2,2.30602
0.2,88,147,20.3,0.4,1.63409
0.2,93,129,20,0.9,5.26192
0,96,121,19.7,0.7,6.06659
-0.5,97,115,18.2,0.3,6.23513
-1,96,107,18.1,0.1,8.91691
-1,91,106,17.2,0.2,10.0668
-1.5,92,111,17,0,7.31363
-1.1,88,116,17.6,0,9.34031
-0.8,83,118,19.7,0,9.73941
-0.7,79,114,19.3,0,11.3006
-0.8,77,117,17.7,0,8.62526
-1.1,71,118,17.1,0,8.42543
-1.4,74,116,14,0,10.8089
-1.9,77,117,12.6,0,14.8657
-2.5,81,124,10.9,0,24.8802
-2.8,83,137,9.4,0,19.6132
-2.9,84,149,9.2,0,68.608
-2.9,86,159,9.2,0,119.035
-3.3,87,171,9.1,0,84.6505
-3.7,87,173,9.4,0,36.9764
-4.1,85,154,11.6,0,16.4691
-4,82,156,12.2,0,29.2439
-3.7,80,156,12.6,0,38.1424
-3.2,80,153,11.3,0,35.0755
-2.6,82,150,12.4,0,16.7971
-2.1,83,148,13.1,0,11.3617
-2.4,84,149,12.6,0,13.0203
-2.1,83,146,13,0,15.2568
-1.2,82,148,12.3,0,12.4434
-0.6,90,148,10.2,0,12.1781
0.1,91,143,9,0,11.916
0.8,92,128,8.7,0.1,19.4839
1,95,130,10.7,0.2,21.3535
1.2,98,130,9.4,0.3,13.7155
1.4,98,125,7.5,0.3,9.63762
1.6,99,117,6.4,0.2,7.16674
1.7,99,112,5.8,0.2,18.8514
